     Isl_id   Source_id   Wave_id  ...  Sr.no  Spectral_index  E_Spectral_index
0         3           2         0  ...    0.0       -0.799848          0.593168
1         4           3         0  ...    1.0       -0.731967          0.465290
2         9           7         0  ...    2.0       -0.662221          0.491334
3        16          13         0  ...    3.0       -0.689942          0.260676
4        18          15         0  ...    4.0       -0.794481          0.226402
5        21          18         0  ...    5.0       -0.835175          0.804600
6        22          19         0  ...    6.0       -1.298576          0.049728
7        23          20         0  ...    7.0       -0.564219          0.402410
8        24          22         0  ...    8.0       -0.934127          0.236094
9        25          23         0  ...    9.0       -0.916627          0.174476
10       28          27         0  ...   10.0       -0.686256          0.043284
11       31          29         0  ...   11.0       -0.727987          0.217396
12       32          30         0  ...   12.0       -0.842163          0.109466
13       33          31         0  ...   13.0       -0.761074          0.328182
14       34          32         0  ...   14.0       -1.212568          0.310767
15       35          33         0  ...   15.0       -0.751975          0.370014
16       37          35         0  ...   16.0       -0.768802          0.244019
17       41          39         0  ...   17.0       -0.447907          1.491677
18       42          40         0  ...   18.0       -0.783057          0.233740
19       44          43         0  ...   19.0       -0.686465          0.264198
20       45          44         0  ...   20.0       -0.936693          0.535312

[21 rows x 60 columns]
